state_year_key,year,state_code,state,state_full,overweight_obese_percent
3-2008,2008,3,NSW,New South Wales,53.4
3-2012,2012,3,NSW,New South Wales,54.3
3-2015,2015,3,NSW,New South Wales,52.5
3-2018,2018,3,NSW,New South Wales,61.0
3-2022,2022,3,NSW,New South Wales,63.1
8-2008,2008,8,Vic,Victoria,61.4
8-2012,2012,8,Vic,Victoria,63.1
8-2015,2015,8,Vic,Victoria,63.3
8-2018,2018,8,Vic,Victoria,67.0
8-2022,2022,8,Vic,Victoria,65.3
5-2008,2008,5,Qld,Queensland,61.0
5-2012,2012,5,Qld,Queensland,64.9
5-2015,2015,5,Qld,Queensland,62.6
5-2018,2018,5,Qld,Queensland,65.9
5-2022,2022,5,Qld,Queensland,68.8
6-2008,2008,6,SA,South Australia,63.0
6-2012,2012,6,SA,South Australia,64.2
6-2015,2015,6,SA,South Australia,65.8
6-2018,2018,6,SA,South Australia,68.8
6-2022,2022,6,SA,South Australia,68.0
9-2008,2008,9,WA,Western Australia,60.0
9-2012,2012,9,WA,Western Australia,63.6
9-2015,2015,9,WA,Western Australia,65.2
9-2018,2018,9,WA,Western Australia,67.0
9-2022,2022,9,WA,Western Australia,68.0
7-2008,2008,7,Tas,Tasmania,62.4
7-2012,2012,7,Tas,Tasmania,68.9
7-2015,2015,7,Tas,Tasmania,67.5
7-2018,2018,7,Tas,Tasmania,70.9
7-2022,2022,7,Tas,Tasmania,70.5
4-2008,2008,4,NT,Northern Territory,62.6
4-2012,2012,4,NT,Northern Territory,65.2
4-2015,2015,4,NT,Northern Territory,66.2
4-2018,2018,4,NT,Northern Territory,65.5
4-2022,2022,4,NT,Northern Territory,63.8
1-2008,2008,1,ACT,Australian Capital Territory,57.8
1-2012,2012,1,ACT,Australian Capital Territory,63.9
1-2015,2015,1,ACT,Australian Capital Territory,63.1
1-2018,2018,1,ACT,Australian Capital Territory,63.0
1-2022,2022,1,ACT,Australian Capital Territory,64.0
